code,name,description,isActive,sortOrder,icon
MATERIAL_CODE,Material Code Creation,Create or modify engineering admin consumable and trading material codes,1,10,sap-icon://product
SERVICE_CODE,Service Code Creation,Create or modify service codes,1,20,sap-icon://technical-object
EQUIPMENT_CODE,Equipment Code Creation,Create or update equipment master codes,1,30,sap-icon://machine
PROJECT_CODE,Project Code Creation,Create or modify project function-location and activity codes,1,40,sap-icon://project-definition-triangle-2
MATERIAL_RESERVATION,Material Reservation,Reserve and issue warehouse or direct-delivery materials,1,50,sap-icon://inventory
OUTLINE_CONTRACT,Outline Contract,Create or amend outline contracts,1,60,sap-icon://contract
PURCHASE_ORDER,Purchase Order Creation,Create centralized purchase orders,1,70,sap-icon://purchase-order
SERVICE_ENTRY_SHEET,Service Entry Sheet,Create or modify service entry sheets,1,80,sap-icon://receipt
