fieldName,label,dataType,defaultValue,placeholder,inputHint
approvalEmailWithDulyFiledBotUploadingFormats,Approval Email with duly filed BOT Uploading formats,Attachment/Text,,,Email/ApprovalReference
dbn,DBN,String,,,
dtv,DTV,String,,,
at,AT,String,,,
realizationConfirmationDebitGlCreditGlInThe,"Realization confirmation , Debit GL , Credit GL in the event if the credit entry goes to a GL instead of vendor account (Ex. Laptop buy back) (To be obtained from Bank rec. team via workflow)",String,,,
vendorOrCustomerCode,Vendor or customer code,String,,,
supportingDocumentsExcelTableWithTheDetailsOf,Supporting documents (Excel table with the details of total and document number),Decimal,,,DocumentReference
entityDapDbnDtvDdtDnsDbsTelecard,Entity (DAP/DBN/DTV/DDT/DNS/DBS/Telecard),String,,,
taxType,TAX type,String,,,
period,Period,Date,,,
glCode,GL Code,String,,,
profitCenter,Profit center,String,,,
udApprovalShouldBeIncorporatedToTheWf,(UD approval should be incorporated to the WF),Attachment/Text,,,
supportingDocumentsMemoWithApproval,Supporting Documents ( Memo with approval),Attachment/Text,,,DocumentReference
entityDapDbnDtvHOne,Entity (DAP/DBN/DTV/H-ONE),String,,,
memoDate,Memo date,Date,,,Date
approvals,Approvals,Attachment/Text,,,
glCodeAndProfitCenter,GL Code & profit center,String,,,
tinNumbers,TIN numbers,String,,,
dinNumbers,DIN numbers,String,,,
entityDapDbnDtvDdt,Entity (DAP | DBN | DTV | DDT),String,,,
budgetCode,Budget code,String,,,
totalAmount,Total amount,Decimal,,,Amount
approvalFromRimazHassanForBelow1Mn,Approval from Rimaz Hassan for below 1 Mn. and Munesh David for above 1 Mn. (UD approval should be incorporated to the WF),Attachment/Text,,,
supportingDocumentAdvanceRequestFormCommercialProformaInvoice,"Supporting document (Advance request form, Commercial / Proforma Invoice)",Attachment/Text,,,DocumentReference
taxInvoice,Tax Invoice,String,,,
poNumberBudgetCode,PO Number / Budget code,String,,,
supportingDocumentAdvanceRequestFormCommercialProformaInvoice2,"Supporting document (Advance request form, Commercial / Proforma Invoice , Paying in Voucher)",Attachment/Text,,,DocumentReference
totalAmountAndVatAmountSeparately,Total amount and VAT amount separately,Decimal,,,Amount
supportingDocumentCommercialProformaInvoiceAssessmentNoticeCusdec,"Supporting document (Commercial / Proforma Invoice , Assessment Notice ,Cusdec)",Attachment/Text,,,DocumentReference
advanceClearanceReportConfirmingTheGrnStatusFrom,Advance clearance report confirming the GRN status (From GRIR Team),String,,,
supportingDocumentsMemoBgFormatIfThereIs,"Supporting documents (Memo , BG format if there is a specific format specified by the beneficiary)",Attachment/Text,,,DocumentReference
beneficiaryNameAndAddress,Beneficiary name and address,String,,,
amountAndCurrency,Amount and currency,Decimal,,,Amount
bgPurpose,BG purpose,String,,,
bgReference,BG Reference,String,,,
commencingDateAndEndingDate,Commencing date and ending date,Date,,,Date
bgTypeBidbondAdvanceGuaranteePerformanceGuaranteeNon,"BG type (Bidbond/Advance guarantee, Performance Guarantee, Non financial guarantee)",String,,,
approvalUdApprovalToBeIncorporatedToWh,Approval (UD approval to be incorporated to WH workflow),Attachment/Text,,,
ifAThirdPartyIsInvolvedNameAnd,"If a third party is involved, name & address of the third party",String,,,
remarks,Remarks,String,,,
entityDap2,Entity(DAP),String,,,
supportingDocumentMemoDebitNoteCreditNote,"Supporting document (Memo , Debit note/Credit note)",Attachment/Text,,,DocumentReference
